pipeline,scene,clip,psnr,ssim,lpips,gaussian_count,status
depth-gsplat,a_contemporary_art_gallery_with_white_walls_and_la_s42,0.323,24.77,0.944,0.1901,300000,ok
depth-gsplat,a_contemporary_art_gallery_with_white_walls_and_la_s43,0.3105,23.56,0.9294,0.2223,300000,ok
depth-gsplat,a_contemporary_art_gallery_with_white_walls_and_la_s44,0.2895,26.52,0.956,0.1773,300000,ok
depth-gsplat,a_cozy_Japanese_coffee_shop_with_warm_lighting_and_s42,0.3116,19.71,0.8638,0.2481,300000,ok
depth-gsplat,a_cozy_Japanese_coffee_shop_with_warm_lighting_and_s43,0.3629,18.27,0.8423,0.2675,300000,ok
depth-gsplat,a_cozy_Japanese_coffee_shop_with_warm_lighting_and_s44,0.3398,19.12,0.8639,0.2482,300000,ok
depth-gsplat,a_cozy_library_s42,,21.33,0.8789,0.2069,300000,clip-error:ValueError
depth-gsplat,a_cyberpunk_noodle_bar_with_holographic_menus_and__s42,0.3361,21.88,0.9002,0.231,300000,ok
depth-gsplat,a_cyberpunk_noodle_bar_with_holographic_menus_and__s43,0.3544,21.61,0.8874,0.2311,300000,ok
depth-gsplat,a_cyberpunk_noodle_bar_with_holographic_menus_and__s44,0.3486,21.48,0.8901,0.2562,300000,ok
depth-gsplat,"a_grand_hotel_lobby_with_marble_floors,_chandelier_s42",0.332,24.26,0.9127,0.1806,300000,ok
depth-gsplat,"a_grand_hotel_lobby_with_marble_floors,_chandelier_s43",0.3345,23.15,0.8957,0.2262,300000,ok
depth-gsplat,"a_grand_hotel_lobby_with_marble_floors,_chandelier_s44",0.3336,23.47,0.907,0.2034,300000,ok
depth-gsplat,a_lush_greenhouse_conservatory_filled_with_tropica_s42,0.3205,22.85,0.8844,0.1915,300000,ok
depth-gsplat,a_lush_greenhouse_conservatory_filled_with_tropica_s43,0.3259,24.59,0.8874,0.1935,300000,ok
depth-gsplat,a_lush_greenhouse_conservatory_filled_with_tropica_s44,0.3192,23.75,0.8892,0.1748,300000,ok
depth-gsplat,a_minimalist_zen_spa_with_a_hot_spring_pool_and_ri_s42,0.356,24.32,0.9086,0.2302,300000,ok
depth-gsplat,a_minimalist_zen_spa_with_a_hot_spring_pool_and_ri_s43,0.3572,25.33,0.9003,0.2603,300000,ok
depth-gsplat,a_minimalist_zen_spa_with_a_hot_spring_pool_and_ri_s44,0.3464,21.11,0.8789,0.2767,300000,ok
depth-gsplat,a_neon-lit_gaming_room_with_RGB_PC_setups_and_espo_s42,0.3618,20.94,0.8643,0.2217,300000,ok
depth-gsplat,a_neon-lit_gaming_room_with_RGB_PC_setups_and_espo_s43,0.3558,20.34,0.8702,0.2264,300000,ok
depth-gsplat,a_neon-lit_gaming_room_with_RGB_PC_setups_and_espo_s44,0.3469,21.55,0.8818,0.1988,300000,ok
depth-gsplat,a_retrofuturistic_planetarium_lounge_with_velvet_s_s42,0.4149,20.11,0.8777,0.2564,300000,ok
depth-gsplat,a_retrofuturistic_planetarium_lounge_with_velvet_s_s43,0.3462,20.44,0.8766,0.3008,300000,ok
depth-gsplat,a_retrofuturistic_planetarium_lounge_with_velvet_s_s44,0.408,22.59,0.9229,0.2066,300000,ok
depth-gsplat,a_sunlit_modernist_kitchen_with_marble_island_and__s42,0.3357,19.78,0.855,0.3217,300000,ok
depth-gsplat,a_sunlit_modernist_kitchen_with_marble_island_and__s43,0.3498,19.94,0.8632,0.2947,300000,ok
depth-gsplat,a_sunlit_modernist_kitchen_with_marble_island_and__s44,0.3166,20.16,0.8763,0.3032,300000,ok
depth-gsplat,a_vast_library_with_floor-to-ceiling_bookshelves_a_s42,0.2853,23.0,0.8835,0.1945,300000,ok
depth-gsplat,a_vast_library_with_floor-to-ceiling_bookshelves_a_s43,0.2858,21.16,0.8613,0.18,300000,ok
depth-gsplat,a_vast_library_with_floor-to-ceiling_bookshelves_a_s44,0.3032,21.83,0.884,0.1905,300000,ok
depth-gsplat-v2,a_contemporary_art_gallery_with_white_walls_and_la_s42,0.323,40.71,0.9862,0.0409,1054210,ok
depth-gsplat-v2,a_contemporary_art_gallery_with_white_walls_and_la_s43,0.3105,38.92,0.9826,0.0608,1211296,ok
depth-gsplat-v2,a_contemporary_art_gallery_with_white_walls_and_la_s44,0.2895,42.68,0.9895,0.0342,1069112,ok
depth-gsplat-v2,a_cozy_Japanese_coffee_shop_with_warm_lighting_and_s42,0.3116,29.39,0.9705,0.0619,1092169,ok
depth-gsplat-v2,a_cozy_Japanese_coffee_shop_with_warm_lighting_and_s43,0.3629,29.0,0.967,0.0796,1119760,ok
depth-gsplat-v2,a_cozy_Japanese_coffee_shop_with_warm_lighting_and_s44,0.3398,28.3,0.9699,0.0636,999030,ok
depth-gsplat-v2,a_cyberpunk_noodle_bar_with_holographic_menus_and__s42,0.3361,29.36,0.973,0.0677,848872,ok
depth-gsplat-v2,a_cyberpunk_noodle_bar_with_holographic_menus_and__s43,0.3544,29.37,0.9712,0.0679,927694,ok
depth-gsplat-v2,a_cyberpunk_noodle_bar_with_holographic_menus_and__s44,0.3486,29.67,0.9692,0.0814,1019981,ok
depth-gsplat-v2,"a_grand_hotel_lobby_with_marble_floors,_chandelier_s42",0.332,39.3,0.9888,0.0261,838913,ok
depth-gsplat-v2,"a_grand_hotel_lobby_with_marble_floors,_chandelier_s43",0.3345,39.05,0.9891,0.0243,1180434,ok
depth-gsplat-v2,"a_grand_hotel_lobby_with_marble_floors,_chandelier_s44",0.3336,38.72,0.9871,0.0279,875084,ok
depth-gsplat-v2,a_lush_greenhouse_conservatory_filled_with_tropica_s42,0.3205,33.04,0.9814,0.037,1223233,ok
depth-gsplat-v2,a_lush_greenhouse_conservatory_filled_with_tropica_s43,0.3259,32.57,0.9797,0.0417,1125448,ok
depth-gsplat-v2,a_lush_greenhouse_conservatory_filled_with_tropica_s44,0.3192,34.82,0.9846,0.0303,1141936,ok
depth-gsplat-v2,a_minimalist_zen_spa_with_a_hot_spring_pool_and_ri_s42,0.356,41.42,0.9851,0.0427,957461,ok
depth-gsplat-v2,a_minimalist_zen_spa_with_a_hot_spring_pool_and_ri_s43,0.3572,42.13,0.9871,0.0365,931818,ok
depth-gsplat-v2,a_minimalist_zen_spa_with_a_hot_spring_pool_and_ri_s44,0.3464,29.46,0.9698,0.0938,1324765,ok
depth-gsplat-v2,a_neon-lit_gaming_room_with_RGB_PC_setups_and_espo_s42,0.3618,35.79,0.9779,0.0342,710591,ok
depth-gsplat-v2,a_neon-lit_gaming_room_with_RGB_PC_setups_and_espo_s43,0.3558,33.38,0.9747,0.0421,725084,ok
depth-gsplat-v2,a_neon-lit_gaming_room_with_RGB_PC_setups_and_espo_s44,0.3469,34.38,0.9783,0.0353,765162,ok
depth-gsplat-v2,a_retrofuturistic_planetarium_lounge_with_velvet_s_s42,0.4149,26.39,0.9556,0.097,869410,ok
depth-gsplat-v2,a_retrofuturistic_planetarium_lounge_with_velvet_s_s43,0.3462,33.14,0.969,0.1088,877943,ok
depth-gsplat-v2,a_retrofuturistic_planetarium_lounge_with_velvet_s_s44,0.408,41.53,0.9846,0.0476,788868,ok
depth-gsplat-v2,a_sunlit_modernist_kitchen_with_marble_island_and__s42,0.3357,25.02,0.955,0.1277,1707027,ok
depth-gsplat-v2,a_sunlit_modernist_kitchen_with_marble_island_and__s43,0.3498,27.62,0.9638,0.0991,1552288,ok
depth-gsplat-v2,a_sunlit_modernist_kitchen_with_marble_island_and__s44,0.3166,28.8,0.9664,0.0984,1478330,ok
depth-gsplat-v2,a_vast_library_with_floor-to-ceiling_bookshelves_a_s42,0.2853,31.63,0.9743,0.0511,1045288,ok
depth-gsplat-v2,a_vast_library_with_floor-to-ceiling_bookshelves_a_s43,0.2858,30.28,0.9677,0.0469,1278986,ok
depth-gsplat-v2,a_vast_library_with_floor-to-ceiling_bookshelves_a_s44,0.3032,30.69,0.9752,0.0489,1210510,ok
