pipeline,scene,clip,psnr,ssim,lpips,gaussian_count,status
depth-gsplat,a_contemporary_art_gallery_with_white_walls_and_la_s42,0.323,24.77,0.944,0.1901,300000,ok
depth-gsplat,a_contemporary_art_gallery_with_white_walls_and_la_s43,0.3105,23.56,0.9294,0.2223,300000,ok
depth-gsplat,a_contemporary_art_gallery_with_white_walls_and_la_s44,0.2895,26.52,0.956,0.1773,300000,ok
depth-gsplat,a_cozy_Japanese_coffee_shop_with_warm_lighting_and_s42,0.3116,19.71,0.8638,0.2481,300000,ok
depth-gsplat,a_cozy_Japanese_coffee_shop_with_warm_lighting_and_s43,0.3629,18.27,0.8423,0.2675,300000,ok
depth-gsplat,a_cozy_Japanese_coffee_shop_with_warm_lighting_and_s44,0.3398,19.12,0.8639,0.2482,300000,ok
depth-gsplat,a_cozy_library_s42,,21.33,0.8789,0.2069,300000,clip-error:ValueError
depth-gsplat,a_cyberpunk_noodle_bar_with_holographic_menus_and__s42,0.3361,21.88,0.9002,0.231,300000,ok
depth-gsplat,a_cyberpunk_noodle_bar_with_holographic_menus_and__s43,0.3544,21.61,0.8874,0.2311,300000,ok
depth-gsplat,a_cyberpunk_noodle_bar_with_holographic_menus_and__s44,0.3486,21.48,0.8901,0.2562,300000,ok
depth-gsplat,"a_grand_hotel_lobby_with_marble_floors,_chandelier_s42",0.332,24.26,0.9127,0.1806,300000,ok
depth-gsplat,"a_grand_hotel_lobby_with_marble_floors,_chandelier_s43",0.3345,23.15,0.8957,0.2262,300000,ok
depth-gsplat,"a_grand_hotel_lobby_with_marble_floors,_chandelier_s44",0.3336,23.47,0.907,0.2034,300000,ok
depth-gsplat,a_lush_greenhouse_conservatory_filled_with_tropica_s42,0.3205,22.85,0.8844,0.1915,300000,ok
depth-gsplat,a_lush_greenhouse_conservatory_filled_with_tropica_s43,0.3259,24.59,0.8874,0.1935,300000,ok
depth-gsplat,a_lush_greenhouse_conservatory_filled_with_tropica_s44,0.3192,23.75,0.8892,0.1748,300000,ok
depth-gsplat,a_minimalist_zen_spa_with_a_hot_spring_pool_and_ri_s42,0.356,24.32,0.9086,0.2302,300000,ok
depth-gsplat,a_minimalist_zen_spa_with_a_hot_spring_pool_and_ri_s43,0.3572,25.33,0.9003,0.2603,300000,ok
depth-gsplat,a_minimalist_zen_spa_with_a_hot_spring_pool_and_ri_s44,0.3464,21.11,0.8789,0.2767,300000,ok
depth-gsplat,a_neon-lit_gaming_room_with_RGB_PC_setups_and_espo_s42,0.3618,20.94,0.8643,0.2217,300000,ok
depth-gsplat,a_neon-lit_gaming_room_with_RGB_PC_setups_and_espo_s43,0.3558,20.34,0.8702,0.2264,300000,ok
depth-gsplat,a_neon-lit_gaming_room_with_RGB_PC_setups_and_espo_s44,0.3469,21.55,0.8818,0.1988,300000,ok
depth-gsplat,a_retrofuturistic_planetarium_lounge_with_velvet_s_s42,0.4149,20.11,0.8777,0.2564,300000,ok
depth-gsplat,a_retrofuturistic_planetarium_lounge_with_velvet_s_s43,0.3462,20.44,0.8766,0.3008,300000,ok
depth-gsplat,a_retrofuturistic_planetarium_lounge_with_velvet_s_s44,0.408,22.59,0.9229,0.2066,300000,ok
depth-gsplat,a_sunlit_modernist_kitchen_with_marble_island_and__s42,0.3357,19.78,0.855,0.3217,300000,ok
depth-gsplat,a_sunlit_modernist_kitchen_with_marble_island_and__s43,0.3498,19.94,0.8632,0.2947,300000,ok
depth-gsplat,a_sunlit_modernist_kitchen_with_marble_island_and__s44,0.3166,20.16,0.8763,0.3032,300000,ok
depth-gsplat,a_vast_library_with_floor-to-ceiling_bookshelves_a_s42,0.2853,23.0,0.8835,0.1945,300000,ok
depth-gsplat,a_vast_library_with_floor-to-ceiling_bookshelves_a_s43,0.2858,21.16,0.8613,0.18,300000,ok
depth-gsplat,a_vast_library_with_floor-to-ceiling_bookshelves_a_s44,0.3032,21.83,0.884,0.1905,300000,ok
legacy-v2,smoke,,,,,300000,ok
legacy-v2,smoke500,,,,,300000,ok
